"goal_id","player_id","is_plus"
"139","69","0"
"139","73","0"
"139","74","0"
"139","76","0"
"139","157","1"
"139","159","1"
"139","163","1"
"140","26","0"
"140","27","0"
"140","65","1"
"140","66","1"
"140","67","1"
"140","68","1"
"140","72","1"
"140","158","0"
"140","159","0"
"140","163","0"
"141","31","0"
"141","66","1"
"141","68","1"
"141","74","1"
"141","75","1"
"141","80","0"
"141","84","0"
"141","100","1"
"141","159","0"
"141","161","0"
"142","30","1"
"142","31","1"
"142","32","1"
"142","65","0"
"142","67","0"
"142","71","0"
"142","72","0"
"142","73","0"
"142","83","1"
"142","84","1"
"142","161","1"
"143","51","1"
"143","53","1"
"143","56","1"
"143","57","1"
"143","65","0"
"143","68","0"
"143","72","0"
"143","74","0"
"143","89","0"
"143","138","1"
"144","50","0"
"144","52","0"
"144","55","0"
"144","58","0"
"144","61","0"
"144","67","1"
"144","69","1"
"144","71","1"
"144","73","1"
"144","76","1"
"145","51","1"
"145","55","1"
"145","56","1"
"145","58","1"
"145","61","1"
"145","66","0"
"145","67","0"
"145","71","0"
"145","75","0"
"145","100","0"
"146","49","1"
"146","50","1"
"146","52","1"
"146","57","1"
"146","62","1"
"146","66","0"
"146","68","0"
"146","71","0"
"146","76","0"
"146","89","0"
"146","100","0"
"147","1","1"
"147","12","1"
"147","13","1"
"147","15","1"
"147","18","1"
"147","52","0"
"147","53","0"
"147","57","0"
"147","60","0"
"148","2","1"
"148","16","1"
"148","18","1"
"148","53","0"
"148","57","0"
"148","60","0"
"148","62","0"
"148","63","0"
"148","109","1"
"148","167","1"
"149","20","0"
"149","21","0"
"149","25","0"
"149","30","1"
"149","32","1"
"149","117","0"
"149","118","0"
"149","161","1"
"149","163","1"
"149","164","1"
"150","1","0"
"150","5","0"
"150","9","0"
"150","11","0"
"150","51","1"
"150","54","1"
"150","56","1"
"150","110","0"
"150","137","1"
"150","142","1"
"151","12","0"
"151","15","0"
"151","49","1"
"151","50","1"
"151","56","1"
"151","58","1"
"151","61","1"
"151","110","0"
"151","167","0"
"152","80","0"
"152","81","0"
"152","97","1"
"152","103","1"
"152","115","1"
"152","117","1"
"152","118","1"
"152","156","0"
"152","163","0"
"152","164","0"
"153","2","1"
"153","5","1"
"153","15","1"
"153","17","1"
"153","51","0"
"153","56","0"
"153","63","0"
"153","88","0"
"153","109","1"
"153","138","0"
"154","29","1"
"154","30","1"
"154","80","1"
"154","90","0"
"154","97","0"
"154","98","1"
"154","114","0"
"154","115","0"
"154","129","0"
"154","163","1"
"155","35","0"
"155","37","0"
"155","44","0"
"155","65","1"
"155","68","1"
"155","74","1"
"155","86","0"
"155","89","1"
"155","100","1"
"155","152","0"
"156","34","0"
"156","38","0"
"156","42","0"
"156","66","1"
"156","68","1"
"156","71","1"
"156","75","1"
"156","86","0"
"156","100","1"
"156","152","0"
"157","27","1"
"157","32","1"
"157","53","0"
"157","60","0"
"157","63","0"
"157","83","1"
"157","84","1"
"157","88","0"
"157","144","0"
"157","158","1"
"159","5","1"
"159","7","1"
"159","16","1"
"159","18","1"
"159","78","0"
"159","79","0"
"159","103","0"
"159","109","1"
"159","115","0"
"159","129","0"
"160","4","1"
"160","5","1"
"160","7","1"
"160","9","1"
"160","14","1"
"160","23","0"
"160","79","0"
"160","104","0"
"160","114","0"
"160","129","0"
"161","12","0"
"161","16","0"
"161","18","0"
"161","97","1"
"161","102","1"
"161","105","1"
"161","109","0"
"161","117","1"
"161","118","1"
"161","167","0"
"162","2","1"
"162","8","1"
"162","10","1"
"162","13","1"
"162","15","1"
"162","20","0"
"162","23","0"
"162","103","0"
"162","118","0"
"162","119","0"
"163","8","0"
"163","12","0"
"163","13","0"
"163","15","0"
"163","21","1"
"163","24","1"
"163","25","1"
"163","90","1"
"163","104","1"
"163","167","0"
"164","30","0"
"164","32","0"
"164","49","1"
"164","56","1"
"164","58","1"
"164","61","1"
"164","83","0"
"164","88","1"
"164","99","0"
"165","56","0"
"165","58","0"
"165","80","1"
"165","84","1"
"165","88","0"
"165","98","1"
"166","1","0"
"166","5","0"
"166","13","0"
"166","17","0"
"166","20","1"
"166","21","1"
"166","23","1"
"166","24","1"
"166","25","1"
"166","78","1"
"166","167","0"
"167","5","1"
"167","13","1"
"167","18","1"
"167","23","0"
"167","24","0"
"167","25","0"
"168","20","1"
"168","23","1"
"168","34","0"
"168","36","0"
"168","40","0"
"168","44","0"
"168","114","1"
"168","117","1"
"168","118","1"
"168","152","0"
"169","24","0"
"169","34","1"
"169","42","1"
"169","44","1"
"169","47","1"
"169","90","0"
"169","97","0"
"170","23","1"
"170","34","0"
"170","35","0"
"170","44","0"
"170","90","1"
"170","114","1"
"171","23","0"
"171","25","0"
"171","68","1"
"171","72","1"
"171","75","1"
"171","100","1"
"171","117","0"
"171","118","0"
"171","125","1"
