"goal_id","player_id","primary_secondary"
"365","83","1"
"367","53","1"
"367","56","2"
"368","38","1"
"368","87","2"
"370","157","1"
"372","156","2"
"372","168","1"
"373","20","1"
"373","115","2"
"374","12","1"
"374","78","2"
"375","13","1"
"375","167","2"
"376","67","1"
"376","89","2"
"377","68","2"
"377","73","1"
"378","69","1"
"378","72","2"
"379","71","1"
"380","100","1"
"381","69","1"
"382","34","2"
"382","44","1"
"383","35","2"
"383","47","1"
"384","56","1"
"384","142","2"
"385","50","1"
"385","57","2"
"386","38","1"
"387","34","1"
"387","38","2"
"388","44","1"
"388","147","2"
"389","44","1"
"390","56","2"
"390","88","1"
"391","21","2"
"391","79","1"
"392","73","2"
"392","75","1"
"393","67","1"
"393","73","2"
"396","38","1"
"397","36","1"
"398","23","2"
"398","25","1"
"399","34","2"
"399","44","1"
"401","23","1"
"402","36","1"
"402","44","2"
"403","1","2"
"403","175","1"
"404","17","1"
"404","78","2"
"405","1","2"
"405","13","1"
"406","51","1"
"406","168","2"
"407","51","2"
"407","99","1"
"408","32","2"
"408","83","1"
"409","5","1"
"409","78","2"
"410","89","1"
"411","53","2"
"411","61","1"
"412","69","1"
"413","58","1"
"414","75","1"
"414","89","2"
"416","128","1"
"417","74","2"
"417","89","1"
"418","67","2"
"418","75","1"
"419","71","2"
"419","100","1"
"420","67","2"
"420","89","1"
"421","32","1"
"421","98","2"
"422","18","1"
"422","109","2"
"423","12","2"
"423","17","1"
"424","67","1"
"424","73","2"
"425","69","1"
"427","83","2"
"427","98","1"
"428","109","2"
"428","167","1"
"429","97","1"
"429","102","2"
"430","24","2"
"430","97","1"
"432","138","1"
"432","162","2"
"433","31","1"
"433","83","2"
"434","110","1"
"434","167","2"
"435","1","1"
"435","12","2"
"436","15","1"
"436","17","2"
"437","11","2"
"437","97","1"
"438","11","2"
"438","23","1"
"439","68","2"
"439","125","1"
"440","20","2"
"440","24","1"
"441","24","2"
"441","114","1"
"442","11","2"
"442","20","1"
"443","21","1"
"443","90","2"
"444","2","1"
"444","12","2"
"445","115","1"
"445","129","2"
"446","109","1"
"447","2","1"
"447","12","2"
"448","20","2"
"448","115","1"
"450","129","1"
"451","97","1"
"451","102","2"
"454","115","1"
"455","23","2"
"455","105","1"
"456","16","2"
"456","78","1"
"457","21","1"
"459","17","1"
"460","92","1"
"460","129","2"
"461","21","2"
"461","129","1"
"462","90","2"
"462","115","1"
"463","180","2"
"463","181","1"
"464","97","1"
"464","104","2"
"466","202","1"
"467","11","2"
"467","92","1"
"468","23","1"
"468","192","2"
"469","89","1"
"469","207","2"
"470","27","1"
"470","49","2"
"471","167","1"
"472","225","1"
"473","167","1"
"474","58","1"
"474","161","2"
"475","115","2"
"475","195","1"
"476","40","1"
"477","53","1"
"478","221","1"
"478","224","2"
"479","91","1"
"481","204","1"
"482","50","2"
"482","72","1"
"483","161","1"
"483","219","2"
"484","97","1"
"484","192","2"
"485","104","1"
"485","129","2"
"486","198","1"
"487","99","1"
"490","31","1"
"490","200","2"
"491","57","2"
"491","219","1"
"492","37","2"
"492","206","1"
"493","47","1"
"493","87","2"
"494","38","2"
"494","87","1"
"495","73","1"
"496","68","1"
"496","232","2"
"497","53","2"
"497","226","1"
"498","26","2"
"498","84","1"
"499","98","1"
"501","34","1"
"502","12","1"
"502","181","2"
"503","63","1"
"503","232","2"
"504","63","1"
"504","67","2"
"507","57","2"
"507","223","1"
"508","138","1"
"509","30","2"
"509","83","1"
"510","62","1"
"511","114","2"
"511","196","1"
"512","23","1"
"512","189","2"
"513","11","2"
"513","169","1"
"514","34","1"
"514","44","2"
"515","47","1"
"516","36","2"
"516","205","1"
"517","104","1"
"518","205","1"
"519","62","2"
"519","101","1"
"520","67","2"
"520","89","1"
"521","75","2"
"521","207","1"
"522","88","2"
"522","161","1"
"523","88","1"
"523","223","2"
"524","36","1"
"525","198","1"
"526","21","1"
"527","1","2"
"527","2","1"
"528","205","1"
"528","230","2"
"529","11","2"
"529","129","1"
"531","36","1"
"531","47","2"
"533","58","1"
"533","219","2"
"534","26","1"
"535","97","1"
"535","169","2"
"536","74","2"
"536","232","1"
"537","21","1"
"537","190","2"
"538","71","1"
"538","89","2"
"540","11","2"
"540","91","1"
"541","21","1"
"541","91","2"
"542","20","2"
"542","23","1"
"543","20","1"
"544","17","1"
"544","167","2"
"545","47","1"
"545","205","2"
"546","13","1"
"546","181","2"
"547","34","1"
"547","47","2"
"549","78","1"
"549","183","2"
"550","118","1"
"551","60","1"
"551","224","2"
"552","18","2"
"552","110","1"
"553","58","1"
"553","224","2"
"554","13","1"
"555","34","1"
"555","205","2"
"556","33","2"
"556","35","1"
"557","36","1"
"557","42","2"
"558","37","2"
"558","229","1"
"559","67","1"
"559","86","2"
"560","68","2"
"560","89","1"
"561","60","1"
"561","161","2"
"562","90","2"
"562","169","1"
"564","20","1"
"565","21","2"
"565","169","1"
"566","60","2"
"566","224","1"
"567","21","1"
"567","91","2"
"568","169","1"
"570","67","1"
"571","157","1"
"572","51","1"
"572","200","2"
"573","71","2"
"573","76","1"
"574","30","1"
"574","114","2"
