"name","name","shooter_id","goalie_id","game_id","period","time","is_goal","x_location","y_location","type","quality"
"Loren Gabel","Boston Fleet","8","22","4","2","00:05:49","0","50","122","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","22","4","2","00:16:26","0","58","119","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","2","00:16:41","0","40","113","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","14","2","00:12:38","1","522","186","Default","Quality goal"
"Loren Gabel","Boston Fleet","8","64","14","3","00:09:28","0","384","111","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","14","3","00:12:26","0","511","230","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","14","3","00:18:10","1","527","195","Default","Quality goal"
"Loren Gabel","Boston Fleet","8","155","16","3","00:01:12","1","83","166","Default","Quality goal"
"Loren Gabel","Boston Fleet","8","155","16","3","00:18:51","0","201","77","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","59","19","2","00:00:52","0","467","221","Snap","Quality on net"
"Loren Gabel","Boston Fleet","8","59","19","3","00:11:32","0","477","248","Snap","Non quality on net"
"Loren Gabel","Boston Fleet","8","123","23","2","00:10:54","0","171","165","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","123","23","3","00:15:28","0","142","210","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","85","27","2","00:06:45","0","116","214","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","85","27","2","00:07:44","0","80","102","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","85","27","3","00:00:54","0","123","216","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","64","29","1","00:18:16","0","80","89","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","29","2","00:04:24","0","87","118","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","64","29","2","00:12:19","0","142","140","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","64","29","3","00:08:50","0","143","98","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","155","32","1","00:08:00","0","130","123","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","155","32","1","00:10:17","0","146","66","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","155","32","1","00:10:25","0","172","53","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","155","32","3","00:02:37","0","89","177","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","59","34","1","00:07:35","1","160","96","Default","Non quality goal"
"Loren Gabel","Boston Fleet","8","59","34","3","00:14:36","0","44","174","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","22","38","1","00:13:23","0","507","207","Wrist","Quality on net"
"Loren Gabel","Boston Fleet","8","22","38","1","00:17:27","0","503","235","Wrist","Non quality on net"
"Loren Gabel","Boston Fleet","8","22","38","1","00:17:43","0","533","252","Wrist","Non quality on net"
"Loren Gabel","Boston Fleet","8","85","42","1","00:07:32","0","482","88","Wrist","Quality on net"
"Loren Gabel","Boston Fleet","8","85","42","1","00:10:44","0","401","153","Wrist","Non quality on net"
"Loren Gabel","Boston Fleet","8","85","42","3","00:14:35","0","487","67","Wrist","Non quality on net"
"Loren Gabel","Boston Fleet","8","41","48","1","00:11:03","0","125","68","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","41","48","2","00:02:00","0","98","208","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","41","48","2","00:08:04","0","57","172","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","41","48","3","00:05:51","0","154","83","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","41","48","3","00:10:18","0","96","195","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","41","48","3","00:15:50","0","126","87","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","50","1","00:08:29","0","395","240","Wrist","Non quality on net"
"Loren Gabel","Boston Fleet","8","59","65","1","00:06:51","0","142","119","Wrist","Quality on net"
"Loren Gabel","Boston Fleet","8","59","65","1","00:17:23","0","63","59","Wrist","Non quality on net"
"Loren Gabel","Boston Fleet","8","59","83","1","00:07:47","0","86","128","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","59","83","3","00:02:05","0","92","127","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","1","00:05:22","0","103","157","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","1","00:18:40","0","98","103","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","2","00:00:46","0","82","130","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","2","00:05:49","0","50","122","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","22","4","2","00:16:26","0","58","119","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","2","00:16:41","0","40","113","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","14","2","00:12:38","1","522","186","Default","Quality goal"
"Loren Gabel","Boston Fleet","8","64","14","3","00:09:28","0","384","111","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","14","3","00:12:26","0","511","230","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","14","3","00:18:10","1","527","195","Default","Quality goal"
"Loren Gabel","Boston Fleet","8","155","16","3","00:01:12","1","83","166","Default","Quality goal"
"Loren Gabel","Boston Fleet","8","155","16","3","00:18:51","0","201","77","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","59","19","2","00:00:52","0","467","221","Snap","Quality on net"
"Loren Gabel","Boston Fleet","8","59","19","3","00:11:32","0","477","248","Snap","Non quality on net"
"Loren Gabel","Boston Fleet","8","123","23","2","00:10:54","0","171","165","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","123","23","3","00:15:28","0","142","210","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","85","27","2","00:06:45","0","116","214","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","85","27","2","00:07:44","0","80","102","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","85","27","3","00:00:54","0","123","216","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","64","29","1","00:18:16","0","80","89","Default","Non quality on net"
"Loren Gabel","Boston Fleet","8","64","29","2","00:04:24","0","87","118","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","64","29","2","00:12:19","0","142","140","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","64","29","3","00:08:50","0","143","98","Default","Quality on net"
